Model,doing->going,playoff.->playoffs.,hole->whole,theres->there's,tow->two,minits->minutes,minis->minutes,3ed->3rd,Oscor->Oscar,socord.->scored.,secend->second,agens->against,leg.->league.,geting->getting,goas->goals,scord->scored,thrid.->third.,fater->after,tird.->third.,He->We,he->we,They score->scored,we score->scored,we going->we were going,Errors Fixed,Errors Total,Voice Issues,Voice Issue Details,Rating
GPT-5.4 (generic prompt),NO,YES,YES,YES,YES,YES,YES,YES,NO,NO,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,NO,NO,19,24,2,added commas around team name; 'in the start'->'at the start',VERY GOOD
GPT-5.4 (dyslexia prompt),NO,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,NO,NO,21,24,0,none,PERFECT
Gemini 3 Flash (generic prompt),NO,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,NO,NO,21,24,0,none,PERFECT
Gemini 3 Flash (dyslexia prompt),NO,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,NO,NO,NO,20,24,0,none,PERFECT
Claude Opus 4.6 (dyslexia prompt),NO,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,22,24,0,none,PERFECT
Claude Haiku 4.5 (generic prompt),NO,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,23,24,4,added commas around team name; deleted 'it' from 'game it was close'; 'win'->'won' at end; 'duck'->'ducks',GOOD
Claude Haiku 4.5 (dyslexia prompt),NO,NO,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,NO,NO,NO,NO,NO,17,24,0,none,PERFECT
Gemini 3.1 Pro (dyslexia prompt),NO,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,23,24,4,added commas around team name; capitalized 'Mighty Duck'; added exclamation mark; 'win'->'won' at end,GOOD
Gemini 3.1 Flash Lite (generic prompt),NO,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,22,24,2,added commas around team name; capitalized 'Mighty Duck',EXCELLENT
Gemini 3.1 Flash Lite (dyslexia prompt),NO,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,NO,NO,21,24,0,none,PERFECT
DeepSeek v3.2 (generic prompt),NO,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,NO,22,24,3,'in the start'->'at the start'; '2'->'two' (number rewrite); 'win'->'won' at end,GOOD
DeepSeek v3.2 (dyslexia prompt),NO,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,NO,NO,21,24,0,none,PERFECT
GPT-OSS-120B (generic prompt),NO,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,23,24,6,added commas around team name; deleted 'it' from 'game it was close'; 'in the start'->'at the start'; '2'->'two' (number rewrite); '6-1 them'->'It was 6-1' (rewrite); 'win'->'won' at end,ACCEPTABLE
GPT-OSS-120B (dyslexia prompt),NO,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,YES,YES,YES,22,24,2,deleted 'it' from 'game it was close'; 'win'->'won' at end,VERY GOOD
Grammarly (curated by human),NO,YES,YES,YES,YES,YES,YES,YES,NO,NO,YES,YES,YES,YES,YES,YES,YES,NO,YES,NO,NO,NO,NO,NO,15,24,2,deleted 'it' from 'game it was close'; inserted 'goal after a goal',VERY GOOD
Grammarly (accept all),NO,YES,YES,NO,YES,YES,YES,YES,NO,NO,YES,NO,YES,YES,YES,YES,YES,YES,YES,NO,NO,NO,NO,YES,15,24,7,added commas around team name; deleted 'it' from 'game it was close'; 'in the start'->'at the start'; 'theres'->'consists of' (major rewrite); 'were against'->'faced' (rewrite); 'win'->'wins' (grammar change); added 'the' before Oscor,HEAVY CHANGES
Grammarly AI,NO,NO,NO,NO,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,20,24,14,added commas around team name; deleted 'it' from 'game it was close'; 'in the start'->'at the start'; '2'->'two' (number rewrite); '6-1 them'->'It was 6-1' (rewrite); capitalized 'Mighty Duck'; 'win'->'won' at end; 'duck'->'ducks'; TOTAL REWRITE of opening; 'close for whole game'->'close the whole way'; '5 on 5'->'5-on-5' (formatting); inserted 'it looked like'; 'first'->'first period' (added word); restructured 'The 3rd game',REWRITES
